job_id,job_title,company,location,skills,experience,description
1,Full Stack Developer,Microsoft,"Mountain View, CA",HTML;CSS;JavaScript;Angular,6,Build dynamic and responsive full-stack web applications.
2,DevOps Engineer,Microsoft,"Mountain View, CA",Kubernetes;Terraform;AWS;CI/CD,2,Automate infrastructure and deployment pipelines.
3,Backend Developer,IBM,"San Francisco, CA",Node.js;Express;MongoDB;Docker,1,Design and maintain backend APIs and services.
4,Frontend Developer,Facebook,"Boston, MA",React;JavaScript;TypeScript;CSS,2,Build and maintain user interfaces for web applications.
5,Data Scientist,Adobe,"Mountain View, CA",Python;R;Machine Learning;SQL,7,Develop and implement machine learning models for product recommendations.
6,Mobile App Developer,Apple,"Menlo Park, CA",Swift;Kotlin;Flutter;Firebase,4,Develop and deploy mobile applications across platforms.
7,QA Engineer,Netflix,"Menlo Park, CA",Selenium;JUnit;TestNG;Postman,10,Test and ensure the quality of software applications.
8,QA Engineer,IBM,"Austin, TX",Selenium;JUnit;TestNG;Postman,10,Test and ensure the quality of software applications.
9,QA Engineer,Amazon,"New York, NY",Selenium;JUnit;TestNG;Postman,6,Test and ensure the quality of software applications.
10,QA Engineer,Salesforce,"Austin, TX",Selenium;JUnit;TestNG;Postman,9,Test and ensure the quality of software applications.
11,DevOps Engineer,Microsoft,"New York, NY",Kubernetes;Terraform;AWS;CI/CD,3,Automate infrastructure and deployment pipelines.
12,DevOps Engineer,Salesforce,"Mountain View, CA",Kubernetes;Terraform;AWS;CI/CD,3,Automate infrastructure and deployment pipelines.
13,QA Engineer,Adobe,"San Francisco, CA",Selenium;JUnit;TestNG;Postman,10,Test and ensure the quality of software applications.
14,QA Engineer,Adobe,"Cupertino, CA",Selenium;JUnit;TestNG;Postman,8,Test and ensure the quality of software applications.
15,Senior Software Engineer,Microsoft,"San Francisco, CA",Python;Java;Cloud;Microservices,10,Lead the development of scalable cloud infrastructure and microservices architecture.
16,Data Scientist,IBM,"Austin, TX",Python;R;Machine Learning;SQL,1,Develop and implement machine learning models for product recommendations.
17,Full Stack Developer,Google,"Chicago, IL",HTML;CSS;JavaScript;Angular,1,Build dynamic and responsive full-stack web applications.
18,Frontend Developer,Netflix,"Mountain View, CA",React;JavaScript;TypeScript;CSS,10,Build and maintain user interfaces for web applications.
19,Full Stack Developer,IBM,"Seattle, WA",HTML;CSS;JavaScript;Angular,7,Build dynamic and responsive full-stack web applications.
20,QA Engineer,Intel,"Redmond, WA",Selenium;JUnit;TestNG;Postman,2,Test and ensure the quality of software applications.
21,DevOps Engineer,Netflix,"Seattle, WA",Kubernetes;Terraform;AWS;CI/CD,1,Automate infrastructure and deployment pipelines.
22,Senior Software Engineer,Facebook,"Cupertino, CA",Python;Java;Cloud;Microservices,5,Lead the development of scalable cloud infrastructure and microservices architecture.
23,Mobile App Developer,Netflix,"Mountain View, CA",Swift;Kotlin;Flutter;Firebase,6,Develop and deploy mobile applications across platforms.
24,Frontend Developer,Netflix,"Menlo Park, CA",React;JavaScript;TypeScript;CSS,6,Build and maintain user interfaces for web applications.
25,Cloud Architect,Intel,"Menlo Park, CA",Azure;GCP;Networking;Security,7,Design cloud solutions and guide teams in cloud migration.
26,Cloud Architect,IBM,"Chicago, IL",Azure;GCP;Networking;Security,10,Design cloud solutions and guide teams in cloud migration.
27,Cloud Architect,Facebook,"Seattle, WA",Azure;GCP;Networking;Security,1,Design cloud solutions and guide teams in cloud migration.
28,Machine Learning Engineer,Netflix,"Chicago, IL",TensorFlow;PyTorch;Data Analysis;Deep Learning,5,Apply deep learning to real-world data problems.
29,Full Stack Developer,Microsoft,"San Francisco, CA",HTML;CSS;JavaScript;Angular,1,Build dynamic and responsive full-stack web applications.
30,Cloud Architect,Salesforce,"New York, NY",Azure;GCP;Networking;Security,6,Design cloud solutions and guide teams in cloud migration.
31,Frontend Developer,Amazon,"Chicago, IL",React;JavaScript;TypeScript;CSS,2,Build and maintain user interfaces for web applications.
32,Cloud Architect,Facebook,"Chicago, IL",Azure;GCP;Networking;Security,5,Design cloud solutions and guide teams in cloud migration.
33,Machine Learning Engineer,Apple,"New York, NY",TensorFlow;PyTorch;Data Analysis;Deep Learning,8,Apply deep learning to real-world data problems.
34,DevOps Engineer,IBM,"Seattle, WA",Kubernetes;Terraform;AWS;CI/CD,9,Automate infrastructure and deployment pipelines.
35,Machine Learning Engineer,Salesforce,"Chicago, IL",TensorFlow;PyTorch;Data Analysis;Deep Learning,6,Apply deep learning to real-world data problems.
36,Mobile App Developer,Adobe,"Boston, MA",Swift;Kotlin;Flutter;Firebase,8,Develop and deploy mobile applications across platforms.
37,QA Engineer,Netflix,"Menlo Park, CA",Selenium;JUnit;TestNG;Postman,3,Test and ensure the quality of software applications.
38,DevOps Engineer,Netflix,"Menlo Park, CA",Kubernetes;Terraform;AWS;CI/CD,5,Automate infrastructure and deployment pipelines.
39,Data Scientist,Microsoft,"Redmond, WA",Python;R;Machine Learning;SQL,1,Develop and implement machine learning models for product recommendations.
40,Machine Learning Engineer,IBM,"Cupertino, CA",TensorFlow;PyTorch;Data Analysis;Deep Learning,6,Apply deep learning to real-world data problems.
41,Senior Software Engineer,Google,"Seattle, WA",Python;Java;Cloud;Microservices,2,Lead the development of scalable cloud infrastructure and microservices architecture.
42,Mobile App Developer,Google,"New York, NY",Swift;Kotlin;Flutter;Firebase,3,Develop and deploy mobile applications across platforms.
43,Full Stack Developer,Microsoft,"Cupertino, CA",HTML;CSS;JavaScript;Angular,5,Build dynamic and responsive full-stack web applications.
44,Cloud Architect,Microsoft,"Boston, MA",Azure;GCP;Networking;Security,6,Design cloud solutions and guide teams in cloud migration.
45,Cloud Architect,Netflix,"Chicago, IL",Azure;GCP;Networking;Security,10,Design cloud solutions and guide teams in cloud migration.
46,Backend Developer,IBM,"Seattle, WA",Node.js;Express;MongoDB;Docker,1,Design and maintain backend APIs and services.
47,DevOps Engineer,Apple,"Mountain View, CA",Kubernetes;Terraform;AWS;CI/CD,2,Automate infrastructure and deployment pipelines.
48,Senior Software Engineer,Intel,"Seattle, WA",Python;Java;Cloud;Microservices,5,Lead the development of scalable cloud infrastructure and microservices architecture.
49,Full Stack Developer,Amazon,"Mountain View, CA",HTML;CSS;JavaScript;Angular,3,Build dynamic and responsive full-stack web applications.
50,QA Engineer,Adobe,"Boston, MA",Selenium;JUnit;TestNG;Postman,10,Test and ensure the quality of software applications.
51,Cloud Architect,Microsoft,"Boston, MA",Azure;GCP;Networking;Security,5,Design cloud solutions and guide teams in cloud migration.
52,Machine Learning Engineer,Microsoft,"San Francisco, CA",TensorFlow;PyTorch;Data Analysis;Deep Learning,10,Apply deep learning to real-world data problems.
53,Full Stack Developer,Facebook,"New York, NY",HTML;CSS;JavaScript;Angular,7,Build dynamic and responsive full-stack web applications.
54,QA Engineer,IBM,"San Francisco, CA",Selenium;JUnit;TestNG;Postman,10,Test and ensure the quality of software applications.
55,Frontend Developer,Netflix,"Chicago, IL",React;JavaScript;TypeScript;CSS,9,Build and maintain user interfaces for web applications.
56,DevOps Engineer,Intel,"San Francisco, CA",Kubernetes;Terraform;AWS;CI/CD,10,Automate infrastructure and deployment pipelines.
57,Data Scientist,Intel,"Cupertino, CA",Python;R;Machine Learning;SQL,3,Develop and implement machine learning models for product recommendations.
58,Full Stack Developer,Netflix,"Redmond, WA",HTML;CSS;JavaScript;Angular,4,Build dynamic and responsive full-stack web applications.
59,Backend Developer,Apple,"Boston, MA",Node.js;Express;MongoDB;Docker,5,Design and maintain backend APIs and services.
60,Full Stack Developer,Salesforce,"Mountain View, CA",HTML;CSS;JavaScript;Angular,9,Build dynamic and responsive full-stack web applications.
61,Cloud Architect,Apple,"Redmond, WA",Azure;GCP;Networking;Security,9,Design cloud solutions and guide teams in cloud migration.
62,QA Engineer,Microsoft,"San Francisco, CA",Selenium;JUnit;TestNG;Postman,10,Test and ensure the quality of software applications.
63,DevOps Engineer,Google,"New York, NY",Kubernetes;Terraform;AWS;CI/CD,9,Automate infrastructure and deployment pipelines.
64,Backend Developer,Microsoft,"Mountain View, CA",Node.js;Express;MongoDB;Docker,2,Design and maintain backend APIs and services.
65,Backend Developer,Adobe,"San Francisco, CA",Node.js;Express;MongoDB;Docker,1,Design and maintain backend APIs and services.
66,Mobile App Developer,Adobe,"Cupertino, CA",Swift;Kotlin;Flutter;Firebase,10,Develop and deploy mobile applications across platforms.
67,Frontend Developer,Microsoft,"Seattle, WA",React;JavaScript;TypeScript;CSS,9,Build and maintain user interfaces for web applications.
68,Machine Learning Engineer,Netflix,"Austin, TX",TensorFlow;PyTorch;Data Analysis;Deep Learning,5,Apply deep learning to real-world data problems.
69,Cloud Architect,Facebook,"Austin, TX",Azure;GCP;Networking;Security,10,Design cloud solutions and guide teams in cloud migration.
70,DevOps Engineer,IBM,"Redmond, WA",Kubernetes;Terraform;AWS;CI/CD,8,Automate infrastructure and deployment pipelines.
71,QA Engineer,Salesforce,"New York, NY",Selenium;JUnit;TestNG;Postman,1,Test and ensure the quality of software applications.
72,Data Scientist,IBM,"Chicago, IL",Python;R;Machine Learning;SQL,6,Develop and implement machine learning models for product recommendations.
73,DevOps Engineer,Salesforce,"Seattle, WA",Kubernetes;Terraform;AWS;CI/CD,4,Automate infrastructure and deployment pipelines.
74,Machine Learning Engineer,Google,"Menlo Park, CA",TensorFlow;PyTorch;Data Analysis;Deep Learning,10,Apply deep learning to real-world data problems.
75,Mobile App Developer,Facebook,"Menlo Park, CA",Swift;Kotlin;Flutter;Firebase,5,Develop and deploy mobile applications across platforms.
76,Backend Developer,Facebook,"Mountain View, CA",Node.js;Express;MongoDB;Docker,10,Design and maintain backend APIs and services.
77,Full Stack Developer,Intel,"Seattle, WA",HTML;CSS;JavaScript;Angular,2,Build dynamic and responsive full-stack web applications.
78,Frontend Developer,Microsoft,"New York, NY",React;JavaScript;TypeScript;CSS,3,Build and maintain user interfaces for web applications.
79,Mobile App Developer,Adobe,"New York, NY",Swift;Kotlin;Flutter;Firebase,3,Develop and deploy mobile applications across platforms.
80,Senior Software Engineer,IBM,"Seattle, WA",Python;Java;Cloud;Microservices,9,Lead the development of scalable cloud infrastructure and microservices architecture.
81,Frontend Developer,IBM,"Seattle, WA",React;JavaScript;TypeScript;CSS,8,Build and maintain user interfaces for web applications.
82,Mobile App Developer,Apple,"Cupertino, CA",Swift;Kotlin;Flutter;Firebase,2,Develop and deploy mobile applications across platforms.
83,Backend Developer,IBM,"Austin, TX",Node.js;Express;MongoDB;Docker,7,Design and maintain backend APIs and services.
84,QA Engineer,Amazon,"Seattle, WA",Selenium;JUnit;TestNG;Postman,1,Test and ensure the quality of software applications.
85,QA Engineer,Google,"New York, NY",Selenium;JUnit;TestNG;Postman,9,Test and ensure the quality of software applications.
86,Cloud Architect,Apple,"Mountain View, CA",Azure;GCP;Networking;Security,6,Design cloud solutions and guide teams in cloud migration.
87,Senior Software Engineer,Intel,"Cupertino, CA",Python;Java;Cloud;Microservices,10,Lead the development of scalable cloud infrastructure and microservices architecture.
88,Full Stack Developer,Microsoft,"Menlo Park, CA",HTML;CSS;JavaScript;Angular,7,Build dynamic and responsive full-stack web applications.
89,Machine Learning Engineer,Facebook,"Chicago, IL",TensorFlow;PyTorch;Data Analysis;Deep Learning,9,Apply deep learning to real-world data problems.
90,Frontend Developer,Microsoft,"Mountain View, CA",React;JavaScript;TypeScript;CSS,2,Build and maintain user interfaces for web applications.
